Date,Time,Temperature (°C),Humidity (%),Air Moisture (%),Relative Humidity (%),Dew Point
2023-08-20,00:00:00,22.6963722757593,58.140811096514796,58.91117684354362,58.1408110965148,14.32453449506226
2023-08-20,01:00:00,23.06202430518589,61.59490827300892,62.411040807626286,61.59490827300892,15.381005959787673
2023-08-20,02:00:00,24.863714906044375,74.12068652765572,75.10278562414716,74.12068652765572,19.687852211575517
2023-08-20,03:00:00,21.955234501984773,74.28561466172432,75.26989905599217,74.28561466172432,16.812357434329638
2023-08-20,04:00:00,21.60367025653479,74.13603146820671,75.11833388516045,74.13603146820671,16.430876550176134
2023-08-20,05:00:00,24.653375354023787,68.1820884935352,69.08550116607455,68.1820884935352,18.28979305273083
2023-08-20,06:00:00,23.381046947938312,76.32979680624496,77.3411666139277,76.32979680624496,18.647006309187304
2023-08-20,07:00:00,25.136298356129167,78.20796929356516,79.2442248867049,78.20796929356516,20.777892214842197
2023-08-20,08:00:00,22.96967065500194,66.61909658982479,67.50179961963997,66.61909658982479,16.2934899729669
2023-08-20,09:00:00,21.692595129319752,66.86340860518047,67.7493487691991,66.86340860518047,15.065276850355845
2023-08-20,10:00:00,34.42010114475779,31.981553758323727,32.40530934562152,31.981553758323727,20.816411896422533
2023-08-20,11:00:00,34.97192315805174,32.777701424562,33.212005968437445,32.777701424562,21.527463442964137
2023-08-20,12:00:00,30.87281464890797,38.637159044398345,39.14910140173662,38.637159044398345,18.600246457787637
2023-08-20,13:00:00,33.24827984027568,39.20672309995251,39.72621218102688,39.20672309995251,21.08962446026618
2023-08-20,14:00:00,33.02880688769745,34.90725290985463,35.3697740109102,34.90725290985463,20.010257469668375
2023-08-20,15:00:00,29.398973693964617,36.265356997377964,36.74587297759322,36.265356997377964,16.652045093440208
2023-08-20,16:00:00,33.920685422408496,35.26556126096693,35.732829947674745,35.26556126096693,20.973797674601883
2023-08-20,17:00:00,28.31002492330698,37.37532414324573,37.87054718814373,37.37532414324573,15.785089751956125
2023-08-20,18:00:00,30.921129161669707,42.49714711318143,43.060234312431085,42.49714711318143,19.420558584305994
2023-08-20,19:00:00,30.820625793129317,40.00473586363153,40.53479861382465,40.00473586363153,18.821572965855623
2023-08-20,20:00:00,29.978892128155092,47.8115176746443,48.44502028383334,47.8115176746443,19.541195663083954
2023-08-20,21:00:00,22.9923903074444,58.296299252416716,59.06872521751124,58.296299252416716,14.651650157927742
2023-08-20,22:00:00,26.533753332180638,57.145777793190454,57.90295934895023,57.145777793190454,17.962908890818728
2023-08-20,23:00:00,26.316582027224282,59.58881677459974,60.37836859686319,59.58881677459974,18.23434538214423
2023-08-21,00:00:00,26.862782354616602,59.08744349783183,59.8703521241781,59.08744349783183,18.680271054182967
2023-08-21,01:00:00,22.692155875829407,71.56235892320902,72.51056017894153,71.56235892320902,17.00462766047121
2023-08-21,02:00:00,25.84445850883006,70.67175918252352,71.60815999169196,70.67175918252352,19.97881034533476
2023-08-21,03:00:00,23.0322383414871,72.64619027195542,73.60875229305884,72.64619027195543,17.561476395878188
2023-08-21,04:00:00,25.748505533670926,77.95599708482493,78.98891404619886,77.95599708482493,21.339704950635912
2023-08-21,05:00:00,23.749345564696025,77.01595250322734,78.0364138738951,77.01595250322734,19.152536065341494
2023-08-21,06:00:00,22.837723490931666,71.72901767981014,72.67942716406762,71.72901767981014,17.183527026893692
2023-08-21,07:00:00,25.323937950796882,76.12595515807922,77.13462406392377,76.12595515807922,20.549128982412725
2023-08-21,08:00:00,21.535339294694083,68.62183354777811,69.53107284228618,68.62183354777812,15.259706004249708
2023-08-21,09:00:00,25.8416068607963,73.69096573216366,74.66737102811483,73.69096573216366,20.579800007229032
2023-08-21,10:00:00,32.51040847241062,37.51928383683043,38.01641434766844,37.51928383683043,20.014265239776705
2023-08-21,11:00:00,34.566681973889786,30.73258582000092,31.13979258211593,30.732585820000917,20.71319913788997
2023-08-21,12:00:00,31.530298742980815,37.88332826022135,38.38528235966928,37.88332826022135,19.106964395025084
2023-08-21,13:00:00,32.683186900049975,33.59296049381273,34.03806722035576,33.59296049381273,19.401778998812524
2023-08-21,14:00:00,30.555674434784976,31.185068215319504,31.59827036917249,31.185068215319507,16.792688077848876
2023-08-21,15:00:00,28.70889946246578,38.17776912612011,38.6836245670412,38.17776912612011,16.344453287689802
2023-08-21,16:00:00,32.08236363234494,30.86238639396786,31.271313013687937,30.86238639396786,18.254840911138515
2023-08-21,17:00:00,34.773190052361485,36.27677201588772,36.75743924509823,36.27677201588772,22.02854445553903
2023-08-21,18:00:00,30.320823785505624,40.737292140448695,41.27706126130964,40.737292140448695,18.468282213595362
2023-08-21,19:00:00,34.28323310131488,51.443131251183516,52.1247527402617,51.443131251183516,24.57185935155158
2023-08-21,20:00:00,32.14704245858252,50.797057412961955,51.4701184236837,50.797057412961955,22.306453941174908
2023-08-21,21:00:00,24.087875027806806,56.56953839051484,57.319084774189164,56.569538390514836,15.401782705909774
2023-08-21,22:00:00,26.834457623251136,59.10892637429565,59.89211964875506,59.10892637429564,18.656242898110264
2023-08-21,23:00:00,22.45481552837614,55.35782476143986,56.09131593952893,55.35782476143986,13.526380480664113
2023-08-22,00:00:00,23.99920423911621,55.764606059418014,56.5034870897053,55.76460605941801,15.152125450999812
2023-08-22,01:00:00,23.138675705233485,62.94935954710642,63.783438561105584,62.94935954710642,15.728547614654769
